NUM,L1_DCM,L2_TCM,L3_TCM
471,13100092.0,465140.9,2257.1
472,13184116.4,466208.0,1879.1
473,13270586.5,467023.5,3210.1
474,13353818.6,471522.8,2038.9
475,13437075.5,474434.0,2294.4
476,13522085.8,476708.4,3518.7
477,13606726.2,479698.6,1693.5
478,13693375.1,482204.3,3205.5
479,13779010.3,483392.3,1625.2
480,13868501.9,485616.7,3367.4
481,13955296.5,489593.8,3924.5
482,14040076.4,491450.8,2265.3
483,14127873.1,493406.7,2753.5
484,14214631.1,497536.7,2305.3
485,14304213.4,501351.6,5378.9
486,14392452.0,502287.4,3956.8
487,14481757.0,505200.0,4381.9
488,14570968.1,506679.9,2546.0
489,14661854.6,510503.7,3230.8
490,14752633.2,511559.3,3024.4
491,14843001.7,515027.0,4573.3
492,14933397.8,516267.5,2441.4
493,15023808.2,519540.5,4616.9
494,15115507.9,522288.3,3807.0
495,15207217.2,526588.0,3680.4
496,15299333.8,528242.8,2683.3
497,15392530.9,533464.2,4450.7
498,15484959.6,534574.2,3665.5
499,15578157.8,537626.3,2605.3
500,15673248.5,541743.8,6237.4
501,15767258.3,542994.7,4216.2
502,15861901.4,546073.8,8163.8
503,15957025.5,549922.2,5267.6
504,16052519.1,549516.6,5366.4
505,16148868.3,553828.5,4579.8
506,16245410.4,557394.3,4879.8
507,16342258.3,559435.4,3006.5
508,16439413.4,561060.6,5149.9
509,16536446.1,565293.9,4678.0
510,16634098.4,568520.2,9675.5
511,16733896.2,572135.1,6217.9
512,16846840.7,559033.1,8813.6
513,16932698.4,574296.4,8287.3
514,17031257.1,579201.3,7367.9
515,17131426.2,583499.8,5176.5
516,17231258.6,584996.9,5383.5
517,17333072.0,591012.4,5064.9
518,17434372.1,591812.2,5958.2
519,17537249.6,585260.7,13665.2
520,17637976.3,577968.8,20457.1
521,17740352.7,602789.7,14798.2
522,17843162.3,602613.4,13472.5
523,17946239.2,608966.0,8064.4
524,18050411.1,606388.0,11928.8
525,18153607.2,613758.0,6517.6
526,18257632.3,616375.9,5415.5
527,18362649.1,620172.5,14336.2
528,18466628.6,624472.4,12502.5
529,18571964.1,624569.4,5968.2
530,18678141.0,628392.0,9032.5
531,18785249.0,631758.1,5957.1
532,18891963.4,629389.0,21972.1
533,18998405.9,638690.0,7904.7
534,19105172.7,641031.9,8066.1
535,19212306.1,644068.0,6015.5
536,19320376.3,646884.2,6620.9
537,19429124.0,651139.3,6633.2
538,19537422.1,654074.9,7603.5
539,19647665.2,657137.7,7788.5
540,19756421.4,658339.7,8414.1
541,19866897.5,662500.0,6696.4
542,19976974.0,664631.2,8218.4
543,20088297.7,669305.1,7073.6
544,20197766.9,666301.2,7796.6
545,20309929.0,675487.5,8280.8
546,20420126.5,676966.0,7525.8
547,20534410.7,683479.1,9484.9
548,20647010.6,685378.0,7730.0
549,20761220.7,688517.3,7772.2
550,20874182.8,690210.1,10851.6
